,id,pm2.5
0,id0,[34.82851739]
1,id1,[37.73642559]
2,id2,[49.46631366]
3,id3,[39.82124712]
4,id4,[23.00062975]
5,id5,[36.31562267]
6,id6,[26.40389402]
7,id7,[50.62022891]
8,id8,[15.3419195]
9,id9,[21.18588851]
10,id10,[26.40344792]
11,id11,[15.74080035]
12,id12,[18.71150214]
13,id13,[40.95602574]
14,id14,[18.35451094]
15,id15,[40.81570767]
16,id16,[29.84291991]
17,id17,[51.89404495]
18,id18,[15.21139923]
19,id19,[34.06819993]
20,id20,[51.81026275]
21,id21,[66.94344302]
22,id22,[5.47870237]
23,id23,[14.48740093]
24,id24,[23.09326613]
25,id25,[23.91614509]
26,id26,[19.20986618]
27,id27,[84.13379095]
28,id28,[23.14031769]
29,id29,[59.30438708]
30,id30,[31.47920939]
31,id31,[29.99011449]
32,id32,[23.72346123]
33,id33,[75.56644082]
34,id34,[40.99348281]
35,id35,[35.40206038]
36,id36,[51.29981913]
37,id37,[44.54177161]
38,id38,[25.97388428]
39,id39,[32.09725065]
40,id40,[14.82771876]
41,id41,[29.87262584]
42,id42,[29.42676044]
43,id43,[31.94337898]
44,id44,[22.10466623]
45,id45,[27.42536341]
46,id46,[33.34528786]
47,id47,[20.00745706]
48,id48,[23.22488177]
49,id49,[23.87017775]
50,id50,[50.44104636]
51,id51,[18.76024562]
52,id52,[56.77463538]
53,id53,[50.76705308]
54,id54,[15.10391516]
55,id55,[57.00583283]
56,id56,[32.81976803]
57,id57,[30.54528612]
58,id58,[62.71707852]
59,id59,[28.0941085]
60,id60,[15.75538244]
61,id61,[34.28917973]
62,id62,[17.88457273]
63,id63,[46.55051537]
64,id64,[31.47616908]
65,id65,[39.9328779]
66,id66,[57.78030449]
67,id67,[8.2690483]
68,id68,[65.17405543]
69,id69,[30.06053021]
70,id70,[17.03562825]
71,id71,[23.87368718]
72,id72,[66.5732596]
73,id73,[22.44776932]
74,id74,[11.17507238]
75,id75,[36.04026075]
76,id76,[31.0811386]
77,id77,[34.51341481]
78,id78,[31.92853968]
79,id79,[39.30630817]
80,id80,[29.79587733]
81,id81,[34.69029421]
82,id82,[24.52925139]
83,id83,[35.15568106]
84,id84,[28.12365467]
85,id85,[33.76120833]
86,id86,[34.64852838]
87,id87,[39.88819458]
88,id88,[16.5888892]
89,id89,[19.59353436]
90,id90,[20.95252185]
91,id91,[16.55491054]
92,id92,[12.88244128]
93,id93,[30.27406034]
94,id94,[28.23206326]
95,id95,[23.66014372]
96,id96,[26.58503725]
97,id97,[20.52176342]
98,id98,[27.03483923]
99,id99,[18.90940282]
100,id100,[24.11223522]
101,id101,[74.05161456]
102,id102,[19.38469812]
103,id103,[27.42950313]
104,id104,[67.36827609]
105,id105,[17.87621616]
106,id106,[19.36353257]
107,id107,[17.29847888]
108,id108,[21.89927468]
109,id109,[47.04225368]
110,id110,[16.29285385]
111,id111,[11.83188018]
112,id112,[25.41041037]
113,id113,[38.49343831]
114,id114,[9.74029009]
115,id115,[41.61797515]
116,id116,[26.06417874]
117,id117,[19.36745004]
118,id118,[47.21930002]
119,id119,[43.1981604]
120,id120,[45.30034021]
121,id121,[2.0282162]
122,id122,[1.14590621]
123,id123,[37.97668998]
124,id124,[25.94812562]
125,id125,[23.39454785]
126,id126,[24.71382695]
127,id127,[9.72204424]
128,id128,[41.43504134]
129,id129,[57.41098401]
130,id130,[15.6358478]
131,id131,[40.20899453]
132,id132,[23.07438273]
133,id133,[24.87639985]
134,id134,[7.1908629]
135,id135,[14.03683137]
136,id136,[24.73596224]
137,id137,[25.10487878]
138,id138,[24.21762342]
139,id139,[11.60883954]
140,id140,[7.90223207]
141,id141,[35.78210902]
142,id142,[12.85227943]
143,id143,[19.05744612]
144,id144,[29.63031065]
145,id145,[31.26052163]
146,id146,[19.73818217]
147,id147,[25.71629342]
148,id148,[10.10340302]
149,id149,[37.80402573]
150,id150,[20.27029323]
151,id151,[30.24075513]
152,id152,[25.35512937]
153,id153,[18.76445525]
154,id154,[14.63544631]
155,id155,[29.06148238]
156,id156,[33.78327731]
157,id157,[31.76305192]
158,id158,[59.32712582]
159,id159,[36.72956777]
160,id160,[54.54494126]
161,id161,[36.07517262]
162,id162,[13.07343618]
163,id163,[21.64121317]
164,id164,[100.07524034]
165,id165,[38.30422312]
166,id166,[9.60001623]
167,id167,[20.11228455]
168,id168,[53.26322053]
169,id169,[19.0997072]
170,id170,[94.5897807]
171,id171,[26.6039847]
172,id172,[28.32913245]
173,id173,[21.42335464]
174,id174,[44.99549742]
175,id175,[19.58671613]
176,id176,[34.58922356]
177,id177,[25.44298555]
178,id178,[25.03992816]
179,id179,[41.53089514]
180,id180,[14.16068557]
181,id181,[15.51814786]
182,id182,[34.26517767]
183,id183,[11.83852196]
184,id184,[18.72367468]
185,id185,[28.36028347]
186,id186,[38.00578059]
187,id187,[63.36955856]
188,id188,[22.54682916]
189,id189,[66.54200759]
190,id190,[35.52072269]
191,id191,[1.19469311]
192,id192,[29.56854736]
193,id193,[12.88476445]
194,id194,[29.63536099]
195,id195,[21.52963363]
196,id196,[38.85838252]
197,id197,[20.22610782]
198,id198,[16.15249437]
199,id199,[50.41838679]
200,id200,[15.94582855]
201,id201,[14.51372251]
202,id202,[65.80725825]
203,id203,[21.10106737]
204,id204,[14.41503596]
205,id205,[15.55598918]
206,id206,[25.29904471]
207,id207,[24.17471941]
208,id208,[44.08550804]
209,id209,[30.50778373]
210,id210,[12.85686598]
211,id211,[19.76870885]
212,id212,[30.3528938]
213,id213,[40.96607281]
214,id214,[34.19227473]
215,id215,[19.60044189]
216,id216,[89.93858583]
217,id217,[19.88803556]
218,id218,[39.73467822]
219,id219,[55.48375601]
220,id220,[28.39362906]
221,id221,[2.60715897]
222,id222,[143.59311597]
223,id223,[24.35593781]
224,id224,[32.35410716]
225,id225,[62.002072]
226,id226,[24.374553]
227,id227,[23.57401477]
228,id228,[21.09707847]
229,id229,[5.48806434]
230,id230,[32.75562071]
231,id231,[20.30089241]
232,id232,[43.11191725]
233,id233,[44.25270388]
234,id234,[10.87218506]
235,id235,[58.29411013]
236,id236,[71.30723491]
237,id237,[40.35682278]
238,id238,[11.78971564]
239,id239,[13.60591145]
